filename,reference_text,language,speaker_id,license,category,code_switch_density
ne_001.wav,आज मौसम राम्रो छ।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_002.wav,म सिड्नीमा बस्छु।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_003.wav,मेरो परिवार नेपालमा छ।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_004.wav,खाना खाने समय भयो।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_005.wav,"बजार जाँदैछु, केही चाहियो?",ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_006.wav,हिजो राति धेरै पानी पर्यो।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_007.wav,कार्यालयमा बैठक छ आज।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_008.wav,फोन गर्न सक्छौ?,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_009.wav,नेपाली खाना मलाई धेरै मन पर्छ।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_010.wav,विमानस्थलबाट अब हिँड्नु पर्छ।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_011.wav,ढोका बन्द गर्न भुलिस?,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_012.wav,काठमाडौंको ट्राफिक धेरै जाम हुन्छ।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_013.wav,पढाइ कस्तो चलेको छ?,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_014.wav,त्यो किताब मलाई दिनुस् न।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_015.wav,बिहान उठ्न गाह्रो भयो।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_016.wav,आउँदो हप्ता नेपाल जान्छु।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_017.wav,दाल भात मेरो मनपर्ने खाना हो।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_018.wav,डाक्टरकहाँ जान भ्याइएन।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_019.wav,मोबाइल चार्जमा लगाउन भुलेछु।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_020.wav,गाउँमा बिजुली आउन छोड्यो।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_021.wav,उसले अंग्रेजी राम्रो बोल्छ।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_022.wav,"भोलि परीक्षा छ, तयारी गर्नु पर्छ।",ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_023.wav,मेरो साथीको विवाह अर्को महिना छ।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_024.wav,पहाडको दृश्य अद्भुत हुन्छ।,ne_np,anubodh_karki,CC-BY-4.0,nepali,
ne_025.wav,यो काम कहिलेसम्म सक्नु पर्छ?,ne_np,anubodh_karki,CC-BY-4.0,nepali,
